Code,lon,lat,x_norm,y_norm
CPV,-23.639434,15.074761,0.4343349055555556,0.4162513277777778
CRI,-84.077922,10.0651,0.2664502166666667,0.44408277777777777
CUB,-77.975855,21.334024,0.2834004027777778,0.38147764444444443
CUW,-68.920578,12.145039,0.30855394999999997,0.4325275611111111
CYM,-81.24055,19.319862,0.2743318055555556,0.3926674333333333
CYP,33.084182,34.913329,0.5919005055555555,0.3060370611111111
CZE,15.377555,49.882364,0.5427154305555556,0.22287575555555555
DEU,9.678348,50.961733,0.5268843,0.2168792611111111
DJI,42.498825,11.976343,0.6180522916666666,0.4334647611111111
DMA,-61.344958,15.458829,0.3295973388888889,0.4141176166666667
DNK,9.018163,55.966965,0.5250504527777777,0.18907241666666666
DOM,-70.653998,19.104137,0.30373889444444446,0.3938659055555555
DZA,2.808241,27.397406,0.5078006694444445,0.34779218888888885
ECU,-78.188375,-1.259076,0.2828100694444445,0.5069948666666666
EGY,29.445837,26.186173,0.5817939916666667,0.35452126111111115
ERI,38.285566,15.787401,0.6063487944444444,0.41229221666666666
ESH,-12.630304,23.967592,0.4649158222222222,0.3668467111111111
ESP,-3.464718,40.090953,0.4903757833333333,0.2772724833333333
EST,25.867126,58.724865,0.5718531277777777,0.17375074999999998
ETH,39.0886,8.032795,0.6085794444444445,0.45537336111111115
FIN,27.276449,63.252361,0.5757679138888889,0.14859799444444444
FJI,177.975427,-17.826099,0.994376186111111,0.5990338833333333
FLK,-58.738602,-51.608913,0.33683721666666666,0.7867161833333334
FRO,-7.058429,62.185604,0.4803932527777778,0.15452442222222224
FSM,158.234019,6.887553,0.9395389416666666,0.4617358166666667
GAB,11.835939,-0.437739,0.5328776083333333,0.5024318833333333
GBR,-2.116346,54.402739,0.49412126111111115,0.19776256111111112
GEO,43.735724,41.870087,0.6214881222222223,0.26738840555555554
GGY,-2.561736,49.463533,0.4928840666666667,0.22520259444444446
GHA,-1.036941,7.717639,0.4971196083333333,0.4571242277777777
GIB,-5.3467,36.129426,0.48514805555555557,0.29928096666666665
GIN,-10.016402,10.618516,0.4721766611111111,0.4410082444444444
GMB,-14.998318,13.641721,0.45833800555555554,0.4242126611111111
GNB,-14.52413,12.163712,0.4596551944444444,0.4324238222222222
GNQ,8.9902,2.333,0.5249727777777777,0.4870388888888889
GRC,21.72568,39.492763,0.5603491111111112,0.2805957611111111
GRD,-61.680461,12.113156,0.32866538611111107,0.43270468888888886
GRL,-39.335251,74.319387,0.3907354138888889,0.08711451666666663
GTM,-90.497134,14.982133,0.2486190722222222,0.41676592777777777
GUM,144.703614,13.354173,0.9019544833333334,0.42581015
GUY,-58.942643,5.124317,0.3362704361111111,0.4715315722222222
HKG,114.097769,22.448829,0.8169382472222222,0.3752842833333333
HMD,73.50521,-53.103462,0.7041811388888889,0.7950192333333334
HND,-86.887604,14.794801,0.25864554444444443,0.4178066611111111
HRV,16.37241,45.805799,0.5454789166666667,0.2455233388888889
HTI,-72.224051,19.263784,0.2993776361111111,0.3929789777777778
HUN,19.447867,47.086841,0.5540218527777778,0.23840643888888888
IDN,101.892949,-0.954404,0.7830359694444444,0.5053022444444444
IMN,-4.530069,54.220833,0.487416475,0.19877315
IND,79.358105,22.686852,0.7204391805555557,0.37396193333333333
IOT,71.348349,-6.190826,0.6981898583333332,0.5343934777777778
IRL,-7.798588,53.078726,0.47833725555555556,0.20511818888888886
IRN,54.931495,32.166225,0.6525874861111111,0.32129875
IRQ,43.26181,33.09403,0.6201716944444444,0.3161442777777778
ISL,-18.673711,64.779286,0.44812858055555554,0.1401150777777778
ISR,34.847915,30.911148,0.5967997638888889,0.3282714
ITA,11.076907,44.732482,0.5307691861111111,0.25148621111111114
